user_id,variant,user_tenure,country_tier,exposure_date,converted_to_paid
100001,control,new,tier_1,2025-07-15,0
100002,control,returning,tier_3,2025-07-15,0
100003,control,tenured,tier_1,2025-07-15,0
100004,control,returning,tier_3,2025-07-15,0
100005,treatment,returning,tier_2,2025-07-15,0
100006,treatment,returning,tier_3,2025-07-15,0
100007,control,new,tier_1,2025-07-15,0
100008,treatment,tenured,tier_3,2025-07-15,0
100009,treatment,new,tier_1,2025-07-15,1
100010,treatment,returning,tier_3,2025-07-15,0
100011,treatment,tenured,tier_2,2025-07-15,0
100012,control,new,tier_2,2025-07-15,0
100013,control,tenured,tier_3,2025-07-15,0
100014,treatment,tenured,tier_2,2025-07-15,0
100015,control,returning,tier_2,2025-07-15,0
100016,control,new,tier_1,2025-07-15,0
100017,control,tenured,tier_1,2025-07-15,0
100018,treatment,returning,tier_2,2025-07-15,0
100019,treatment,tenured,tier_1,2025-07-15,0
100020,treatment,new,tier_2,2025-07-15,0
100021,control,returning,tier_3,2025-07-15,0
100022,treatment,tenured,tier_1,2025-07-15,0
100023,treatment,tenured,tier_3,2025-07-15,0
100024,treatment,tenured,tier_2,2025-07-15,0
100025,treatment,tenured,tier_2,2025-07-15,0
100026,treatment,tenured,tier_2,2025-07-15,1
100027,treatment,tenured,tier_1,2025-07-15,0
100028,treatment,returning,tier_1,2025-07-15,0
100029,treatment,returning,tier_2,2025-07-15,1
100030,control,new,tier_2,2025-07-15,0
100031,control,tenured,tier_2,2025-07-15,1
100032,control,tenured,tier_3,2025-07-15,0
100033,treatment,tenured,tier_3,2025-07-15,0
100034,treatment,tenured,tier_2,2025-07-15,0
100035,treatment,tenured,tier_1,2025-07-15,0
100036,control,new,tier_2,2025-07-15,0
100037,treatment,new,tier_3,2025-07-15,0
100038,control,new,tier_2,2025-07-15,0
100039,treatment,returning,tier_3,2025-07-15,1
100040,treatment,returning,tier_1,2025-07-15,0
100041,control,tenured,tier_3,2025-07-15,0
100042,control,new,tier_2,2025-07-15,0
100043,treatment,returning,tier_2,2025-07-15,1
100044,treatment,tenured,tier_3,2025-07-15,0
100045,treatment,new,tier_3,2025-07-15,0
100046,treatment,new,tier_3,2025-07-15,0
100047,control,returning,tier_2,2025-07-15,0
100048,treatment,tenured,tier_3,2025-07-15,1
100049,treatment,tenured,tier_3,2025-07-15,0
100050,control,returning,tier_1,2025-07-15,0
100051,treatment,returning,tier_3,2025-07-15,0
100052,control,tenured,tier_1,2025-07-15,0
100053,treatment,returning,tier_2,2025-07-15,0
100054,treatment,returning,tier_1,2025-07-15,0
100055,treatment,returning,tier_2,2025-07-15,0
100056,control,tenured,tier_1,2025-07-15,0
100057,treatment,returning,tier_2,2025-07-15,0
100058,control,new,tier_1,2025-07-15,0
100059,treatment,new,tier_2,2025-07-15,0
100060,control,returning,tier_2,2025-07-15,0
100061,control,tenured,tier_3,2025-07-15,1
100062,treatment,new,tier_1,2025-07-15,0
100063,treatment,returning,tier_1,2025-07-15,0
100064,treatment,new,tier_3,2025-07-15,0
100065,control,returning,tier_2,2025-07-15,0
100066,treatment,new,tier_2,2025-07-15,1
100067,control,tenured,tier_1,2025-07-15,0
100068,treatment,tenured,tier_1,2025-07-15,0
100069,control,returning,tier_3,2025-07-15,1
100070,control,new,tier_1,2025-07-15,0
100071,control,new,tier_1,2025-07-15,0
100072,treatment,tenured,tier_3,2025-07-15,1
100073,treatment,new,tier_3,2025-07-15,0
100074,control,new,tier_3,2025-07-15,0
100075,treatment,returning,tier_2,2025-07-15,1
100076,control,returning,tier_1,2025-07-15,0
100077,control,new,tier_1,2025-07-15,0
100078,treatment,tenured,tier_1,2025-07-15,1
100079,treatment,new,tier_2,2025-07-15,0
100080,control,returning,tier_1,2025-07-15,0
100081,control,tenured,tier_2,2025-07-15,0
100082,treatment,returning,tier_3,2025-07-15,1
100083,treatment,new,tier_2,2025-07-15,1
100084,treatment,returning,tier_1,2025-07-15,0
100085,treatment,tenured,tier_2,2025-07-15,0
100086,control,returning,tier_1,2025-07-15,1
100087,control,tenured,tier_1,2025-07-15,0
100088,treatment,returning,tier_3,2025-07-15,0
100089,treatment,tenured,tier_1,2025-07-15,0
100090,treatment,new,tier_1,2025-07-15,0
100091,control,tenured,tier_2,2025-07-15,0
100092,treatment,tenured,tier_2,2025-07-15,0
100093,control,returning,tier_1,2025-07-15,0
100094,treatment,tenured,tier_1,2025-07-15,0
100095,treatment,returning,tier_3,2025-07-15,0
100096,control,returning,tier_2,2025-07-15,0
100097,treatment,new,tier_1,2025-07-15,0
100098,treatment,tenured,tier_2,2025-07-15,0
100099,treatment,returning,tier_2,2025-07-15,0
100100,treatment,returning,tier_3,2025-07-15,0
100101,control,new,tier_3,2025-07-15,0
100102,control,tenured,tier_2,2025-07-15,0
100103,control,returning,tier_1,2025-07-15,0
100104,treatment,returning,tier_2,2025-07-15,0
100105,treatment,new,tier_1,2025-07-15,0
100106,treatment,tenured,tier_3,2025-07-15,0
100107,treatment,new,tier_3,2025-07-15,0
100108,control,tenured,tier_1,2025-07-15,0
100109,treatment,new,tier_2,2025-07-15,0
100110,control,tenured,tier_1,2025-07-15,0
100111,control,returning,tier_1,2025-07-15,0
100112,control,returning,tier_1,2025-07-15,1
100113,control,tenured,tier_3,2025-07-15,0
100114,control,new,tier_2,2025-07-15,0
100115,control,returning,tier_1,2025-07-15,0
100116,treatment,new,tier_2,2025-07-15,1
100117,treatment,tenured,tier_3,2025-07-15,0
100118,treatment,tenured,tier_2,2025-07-15,0
100119,control,returning,tier_1,2025-07-15,0
100120,control,new,tier_1,2025-07-15,0
100121,control,tenured,tier_2,2025-07-15,0
100122,treatment,new,tier_3,2025-07-15,1
100123,control,returning,tier_2,2025-07-15,0
100124,treatment,returning,tier_2,2025-07-15,0
100125,control,returning,tier_1,2025-07-15,0
100126,control,new,tier_1,2025-07-15,0
100127,treatment,returning,tier_1,2025-07-15,1
100128,treatment,returning,tier_3,2025-07-15,0
100129,control,new,tier_2,2025-07-15,0
100130,control,tenured,tier_2,2025-07-15,1
100131,treatment,new,tier_2,2025-07-15,0
100132,treatment,new,tier_3,2025-07-15,0
100133,treatment,returning,tier_3,2025-07-15,0
100134,control,returning,tier_2,2025-07-15,0
100135,treatment,returning,tier_1,2025-07-15,0
100136,control,returning,tier_2,2025-07-15,0
100137,control,tenured,tier_3,2025-07-15,0
100138,treatment,tenured,tier_3,2025-07-15,0
100139,treatment,new,tier_3,2025-07-15,0
100140,treatment,new,tier_2,2025-07-15,0
100141,treatment,new,tier_3,2025-07-15,0
100142,treatment,tenured,tier_1,2025-07-15,0
100143,control,returning,tier_3,2025-07-15,1
100144,control,returning,tier_2,2025-07-15,0
100145,treatment,tenured,tier_2,2025-07-15,1
100146,control,tenured,tier_3,2025-07-15,0
100147,treatment,new,tier_2,2025-07-15,0
100148,control,new,tier_2,2025-07-15,0
100149,treatment,new,tier_3,2025-07-15,0
