user_id,variant,country_tier,exposure_date,d1_activated,d7_retained,d30_retained
300001,control,tier_1,2025-07-01,0,0,0
300002,control,tier_2,2025-07-01,1,1,0
300003,control,tier_2,2025-07-01,0,0,0
300004,control,tier_2,2025-07-01,1,0,0
300005,control,tier_3,2025-07-01,1,1,1
300006,treatment,tier_1,2025-07-01,1,0,0
300007,control,tier_2,2025-07-01,1,0,0
300008,control,tier_3,2025-07-01,1,1,0
300009,treatment,tier_1,2025-07-01,0,0,0
300010,treatment,tier_1,2025-07-01,1,1,0
300011,control,tier_2,2025-07-01,0,0,0
300012,treatment,tier_3,2025-07-01,0,0,0
300013,control,tier_1,2025-07-01,0,0,0
300014,control,tier_3,2025-07-01,0,0,0
300015,treatment,tier_1,2025-07-01,1,0,0
300016,treatment,tier_3,2025-07-01,0,0,0
300017,control,tier_2,2025-07-01,0,0,0
300018,treatment,tier_1,2025-07-01,0,0,0
300019,treatment,tier_1,2025-07-01,1,1,1
300020,control,tier_1,2025-07-01,0,0,0
300021,control,tier_3,2025-07-01,0,0,0
300022,treatment,tier_3,2025-07-01,1,0,0
300023,control,tier_1,2025-07-01,0,0,0
300024,treatment,tier_1,2025-07-01,0,0,0
300025,control,tier_3,2025-07-01,0,0,0
300026,treatment,tier_3,2025-07-01,1,0,0
300027,treatment,tier_3,2025-07-01,1,1,0
300028,control,tier_2,2025-07-01,1,0,0
300029,treatment,tier_3,2025-07-01,0,0,0
300030,control,tier_3,2025-07-01,1,0,0
300031,treatment,tier_2,2025-07-01,1,1,1
300032,control,tier_3,2025-07-01,0,0,0
300033,treatment,tier_2,2025-07-01,0,0,0
300034,control,tier_3,2025-07-01,1,0,0
300035,control,tier_1,2025-07-01,1,0,0
300036,control,tier_1,2025-07-01,1,0,0
300037,treatment,tier_1,2025-07-01,0,0,0
300038,treatment,tier_1,2025-07-01,0,0,0
300039,control,tier_2,2025-07-01,0,0,0
300040,treatment,tier_3,2025-07-01,1,0,0
300041,control,tier_1,2025-07-01,1,1,0
300042,treatment,tier_2,2025-07-01,1,1,1
300043,treatment,tier_2,2025-07-01,0,0,0
300044,control,tier_1,2025-07-01,0,0,0
300045,control,tier_3,2025-07-01,0,0,0
300046,control,tier_3,2025-07-01,1,1,0
