user_id,variant,device,exposure_date,sessions_14d
400001,control,android,2025-08-01,15
400002,treatment,ios,2025-08-01,13
400003,treatment,android,2025-08-01,12
400004,treatment,ios,2025-08-01,3
400005,treatment,ios,2025-08-01,9
400006,control,android,2025-08-01,4
400007,treatment,ios,2025-08-01,11
400008,control,ios,2025-08-01,1
400009,control,ios,2025-08-01,0
400010,treatment,ios,2025-08-01,7
400011,control,ios,2025-08-01,7
400012,treatment,android,2025-08-01,6
400013,treatment,ios,2025-08-01,5
400014,treatment,ios,2025-08-01,6
400015,treatment,ios,2025-08-01,13
400016,treatment,ios,2025-08-01,4
400017,control,ios,2025-08-01,13
400018,control,android,2025-08-01,5
400019,control,android,2025-08-01,8
400020,control,android,2025-08-01,0
400021,control,ios,2025-08-01,10
400022,control,ios,2025-08-01,7
400023,treatment,android,2025-08-01,5
400024,treatment,ios,2025-08-01,15
400025,control,android,2025-08-01,3
400026,control,android,2025-08-01,7
400027,treatment,android,2025-08-01,0
400028,treatment,android,2025-08-01,1
400029,control,android,2025-08-01,7
400030,control,android,2025-08-01,11
400031,control,ios,2025-08-01,3
400032,control,ios,2025-08-01,4
400033,treatment,android,2025-08-01,4
400034,treatment,android,2025-08-01,10
400035,treatment,android,2025-08-01,13
400036,treatment,android,2025-08-01,4
400037,treatment,android,2025-08-01,1
400038,treatment,ios,2025-08-01,16
400039,treatment,android,2025-08-01,14
400040,control,android,2025-08-01,18
400041,control,android,2025-08-01,9
400042,control,ios,2025-08-01,13
400043,control,ios,2025-08-01,14
400044,control,ios,2025-08-01,8
400045,treatment,ios,2025-08-01,5
400046,control,android,2025-08-01,12
400047,control,android,2025-08-01,6
400048,treatment,android,2025-08-01,3
400049,control,android,2025-08-01,9
400050,treatment,android,2025-08-01,1
400051,control,android,2025-08-01,5
400052,control,android,2025-08-01,11
400053,control,ios,2025-08-01,12
400054,treatment,ios,2025-08-01,10
400055,control,ios,2025-08-01,10
400056,treatment,ios,2025-08-01,6
400057,control,android,2025-08-01,15
400058,control,ios,2025-08-01,9
400059,control,android,2025-08-01,8
400060,control,ios,2025-08-01,8
400061,control,android,2025-08-01,4
400062,treatment,ios,2025-08-01,5
400063,control,ios,2025-08-01,12
400064,treatment,android,2025-08-01,5
400065,control,android,2025-08-01,18
400066,treatment,ios,2025-08-01,8
400067,treatment,android,2025-08-01,5
400068,treatment,android,2025-08-01,4
400069,control,ios,2025-08-01,11
400070,control,ios,2025-08-01,9
400071,control,android,2025-08-01,5
400072,control,ios,2025-08-01,10
400073,treatment,android,2025-08-01,8
400074,control,android,2025-08-01,2
400075,control,ios,2025-08-01,12
400076,control,android,2025-08-01,5
400077,treatment,android,2025-08-01,9
400078,treatment,android,2025-08-01,20
400079,treatment,android,2025-08-01,21
400080,treatment,ios,2025-08-01,6
400081,treatment,android,2025-08-01,15
400082,treatment,ios,2025-08-01,6
400083,control,ios,2025-08-01,3
400084,treatment,ios,2025-08-01,18
400085,control,android,2025-08-01,7
400086,treatment,ios,2025-08-01,21
400087,control,ios,2025-08-01,7
400088,control,ios,2025-08-01,6
400089,treatment,android,2025-08-01,7
400090,treatment,ios,2025-08-01,12
400091,control,android,2025-08-01,10
400092,control,ios,2025-08-01,2
400093,control,android,2025-08-01,5
400094,treatment,android,2025-08-01,4
400095,control,android,2025-08-01,8
400096,control,ios,2025-08-01,14
400097,treatment,ios,2025-08-01,15
400098,control,android,2025-08-01,6
400099,control,ios,2025-08-01,7
400100,control,android,2025-08-01,5
400101,control,android,2025-08-01,19
400102,treatment,ios,2025-08-01,7
400103,control,ios,2025-08-01,14
400104,control,android,2025-08-01,2
400105,treatment,android,2025-08-01,7
400106,control,android,2025-08-01,1
400107,control,ios,2025-08-01,27
400108,control,android,2025-08-01,9
400109,control,android,2025-08-01,11
400110,control,android,2025-08-01,6
400111,treatment,android,2025-08-01,5
400112,treatment,ios,2025-08-01,6
400113,control,ios,2025-08-01,6
400114,control,ios,2025-08-01,8
400115,control,android,2025-08-01,8
400116,treatment,android,2025-08-01,3
400117,treatment,android,2025-08-01,7
400118,control,android,2025-08-01,9
400119,control,ios,2025-08-01,12
400120,control,android,2025-08-01,3
400121,treatment,android,2025-08-01,7
400122,control,android,2025-08-01,7
400123,control,ios,2025-08-01,10
400124,control,ios,2025-08-01,13
400125,control,ios,2025-08-01,14
400126,treatment,ios,2025-08-01,15
400127,treatment,android,2025-08-01,1
400128,control,ios,2025-08-01,18
400129,treatment,ios,2025-08-01,5
400130,treatment,android,2025-08-01,11
400131,treatment,ios,2025-08-01,20
400132,control,ios,2025-08-01,11
400133,control,android,2025-08-01,13
400134,treatment,ios,2025-08-01,3
400135,control,android,2025-08-01,19
400136,treatment,ios,2025-08-01,10
400137,treatment,android,2025-08-01,5
400138,treatment,android,2025-08-01,5
400139,control,android,2025-08-01,10
400140,treatment,ios,2025-08-01,7
400141,control,android,2025-08-01,1
400142,control,ios,2025-08-01,2
400143,treatment,android,2025-08-01,10
400144,control,android,2025-08-01,13
400145,treatment,android,2025-08-01,13
400146,control,android,2025-08-01,18
400147,control,ios,2025-08-01,17
400148,treatment,android,2025-08-01,11
400149,treatment,ios,2025-08-01,2
400150,treatment,android,2025-08-01,7
400151,treatment,android,2025-08-01,9
400152,control,ios,2025-08-01,1
400153,control,ios,2025-08-01,10
400154,treatment,ios,2025-08-01,8
400155,control,ios,2025-08-01,6
400156,control,android,2025-08-01,0
400157,treatment,ios,2025-08-01,24
400158,treatment,ios,2025-08-01,9
400159,treatment,ios,2025-08-01,9
400160,treatment,android,2025-08-01,10
400161,treatment,android,2025-08-01,13
400162,treatment,ios,2025-08-01,8
400163,treatment,ios,2025-08-01,6
400164,control,ios,2025-08-01,10
400165,treatment,ios,2025-08-01,11
400166,control,ios,2025-08-01,8
400167,treatment,android,2025-08-01,9
400168,control,android,2025-08-01,8
400169,control,android,2025-08-01,8
400170,control,ios,2025-08-01,19
400171,control,android,2025-08-01,4
400172,control,android,2025-08-01,13
400173,control,android,2025-08-01,7
400174,control,ios,2025-08-01,25
400175,control,ios,2025-08-01,7
400176,control,ios,2025-08-01,5
400177,treatment,ios,2025-08-01,1
400178,control,ios,2025-08-01,23
400179,treatment,ios,2025-08-01,2
400180,treatment,android,2025-08-01,1
400181,treatment,ios,2025-08-01,16
400182,treatment,android,2025-08-01,16
400183,treatment,ios,2025-08-01,7
400184,control,android,2025-08-01,6
400185,treatment,android,2025-08-01,5
400186,control,ios,2025-08-01,9
400187,treatment,ios,2025-08-01,17
400188,treatment,android,2025-08-01,2
400189,treatment,ios,2025-08-01,16
400190,control,android,2025-08-01,11
400191,treatment,android,2025-08-01,11
400192,control,ios,2025-08-01,17
400193,control,android,2025-08-01,2
400194,control,android,2025-08-01,16
400195,treatment,ios,2025-08-01,1
400196,treatment,android,2025-08-01,15
400197,control,android,2025-08-01,11
400198,control,android,2025-08-01,6
400199,control,android,2025-08-01,2
400200,control,android,2025-08-01,10
400201,treatment,ios,2025-08-01,8
400202,treatment,android,2025-08-01,4
400203,treatment,ios,2025-08-01,7
400204,control,android,2025-08-01,8
400205,control,ios,2025-08-01,0
400206,control,ios,2025-08-01,9
400207,treatment,ios,2025-08-01,14
400208,treatment,android,2025-08-01,5
400209,treatment,ios,2025-08-01,15
400210,control,ios,2025-08-01,15
400211,treatment,android,2025-08-01,10
400212,treatment,android,2025-08-01,12
400213,treatment,ios,2025-08-01,8
400214,treatment,ios,2025-08-01,11
400215,control,android,2025-08-01,1
400216,control,ios,2025-08-01,7
400217,treatment,android,2025-08-01,3
400218,control,android,2025-08-01,2
400219,treatment,ios,2025-08-01,7
400220,treatment,ios,2025-08-01,8
400221,treatment,android,2025-08-01,12
400222,treatment,android,2025-08-01,3
400223,control,ios,2025-08-01,8
