user_id,variant,country_tier,pre_period_sessions,exposure_date,active_days_30
500001,treatment,tier_3,4,2025-08-10,5
500002,control,tier_2,17,2025-08-10,9
500003,control,tier_2,20,2025-08-10,22
500004,treatment,tier_3,26,2025-08-10,19
500005,control,tier_1,8,2025-08-10,10
500006,treatment,tier_2,16,2025-08-10,19
500007,holdout,tier_2,12,2025-08-10,16
500008,control,tier_3,6,2025-08-10,12
500009,holdout,tier_2,5,2025-08-10,7
500010,control,tier_1,16,2025-08-10,12
500011,control,tier_1,4,2025-08-10,8
500012,treatment,tier_1,5,2025-08-10,9
500013,treatment,tier_1,6,2025-08-10,16
500014,treatment,tier_2,7,2025-08-10,17
500015,control,tier_1,5,2025-08-10,12
500016,treatment,tier_2,16,2025-08-10,17
500017,control,tier_3,6,2025-08-10,7
500018,control,tier_1,5,2025-08-10,11
500019,control,tier_1,14,2025-08-10,8
500020,treatment,tier_1,9,2025-08-10,15
500021,treatment,tier_3,11,2025-08-10,10
500022,control,tier_1,9,2025-08-10,8
500023,control,tier_1,6,2025-08-10,3
500024,control,tier_2,6,2025-08-10,13
500025,control,tier_3,8,2025-08-10,4
500026,control,tier_1,21,2025-08-10,16
500027,control,tier_1,7,2025-08-10,6
500028,treatment,tier_2,9,2025-08-10,14
500029,control,tier_1,10,2025-08-10,14
500030,control,tier_3,7,2025-08-10,17
500031,control,tier_1,30,2025-08-10,30
500032,treatment,tier_2,11,2025-08-10,17
500033,control,tier_2,20,2025-08-10,14
500034,control,tier_1,8,2025-08-10,17
500035,treatment,tier_1,15,2025-08-10,10
500036,treatment,tier_2,2,2025-08-10,13
500037,control,tier_2,4,2025-08-10,11
500038,control,tier_1,11,2025-08-10,18
500039,holdout,tier_3,7,2025-08-10,13
500040,treatment,tier_3,7,2025-08-10,11
500041,treatment,tier_1,12,2025-08-10,7
500042,control,tier_1,6,2025-08-10,7
500043,control,tier_2,11,2025-08-10,12
500044,control,tier_1,25,2025-08-10,19
500045,treatment,tier_2,10,2025-08-10,15
500046,control,tier_2,6,2025-08-10,8
500047,treatment,tier_1,8,2025-08-10,17
500048,treatment,tier_1,7,2025-08-10,17
500049,holdout,tier_2,9,2025-08-10,13
500050,control,tier_2,5,2025-08-10,7
500051,control,tier_1,10,2025-08-10,6
500052,treatment,tier_3,10,2025-08-10,13
500053,control,tier_1,9,2025-08-10,20
500054,holdout,tier_2,6,2025-08-10,10
500055,treatment,tier_3,8,2025-08-10,15
500056,treatment,tier_2,2,2025-08-10,11
500057,treatment,tier_2,18,2025-08-10,14
500058,holdout,tier_1,6,2025-08-10,14
500059,control,tier_3,0,2025-08-10,11
500060,holdout,tier_2,8,2025-08-10,11
500061,treatment,tier_1,7,2025-08-10,17
500062,treatment,tier_3,8,2025-08-10,8
500063,treatment,tier_2,8,2025-08-10,9
500064,treatment,tier_3,22,2025-08-10,16
500065,control,tier_2,7,2025-08-10,17
500066,control,tier_3,18,2025-08-10,14
500067,treatment,tier_2,19,2025-08-10,19
500068,control,tier_3,16,2025-08-10,17
500069,holdout,tier_1,12,2025-08-10,7
500070,treatment,tier_3,7,2025-08-10,14
500071,control,tier_2,14,2025-08-10,15
500072,treatment,tier_1,17,2025-08-10,22
500073,control,tier_2,9,2025-08-10,10
500074,control,tier_1,17,2025-08-10,11
500075,treatment,tier_2,9,2025-08-10,18
500076,control,tier_1,6,2025-08-10,9
500077,treatment,tier_2,8,2025-08-10,9
500078,holdout,tier_2,16,2025-08-10,9
500079,control,tier_3,7,2025-08-10,7
500080,control,tier_1,5,2025-08-10,6
500081,treatment,tier_2,5,2025-08-10,12
500082,holdout,tier_3,4,2025-08-10,5
500083,treatment,tier_2,8,2025-08-10,19
