userid,version,sum_gamerounds,retention_1,retention_7
116,gate_30,12,False,False
117,gate_40,5,True,False
118,gate_40,13,False,False
119,gate_40,267,True,False
120,gate_30,21,False,False
121,gate_30,1,True,False
122,gate_30,13,True,False
123,gate_40,32,True,True
124,gate_40,12,False,False
125,gate_40,426,False,False
126,gate_30,16,False,False
127,gate_40,14,False,False
128,gate_40,10,True,False
129,gate_30,14,True,True
130,gate_30,31,False,False
131,gate_30,17,False,False
132,gate_30,12,False,False
133,gate_40,119,True,False
134,gate_30,28,False,False
135,gate_30,1,True,True
136,gate_40,26,False,False
137,gate_30,5,False,False
138,gate_30,15,True,True
139,gate_30,11,False,False
140,gate_30,15,False,False
141,gate_40,43,True,False
142,gate_30,12,False,False
143,gate_40,4,False,False
144,gate_40,22,True,False
145,gate_30,33,True,True
146,gate_40,43,True,False
147,gate_30,15,True,True
148,gate_30,29,True,True
149,gate_40,58,False,False
150,gate_40,46,False,False
151,gate_40,82,False,False
152,gate_30,12,False,False
153,gate_30,28,False,False
154,gate_40,11,False,False
155,gate_30,10,False,False
156,gate_30,3,False,False
157,gate_30,53,False,False
158,gate_30,46,False,False
159,gate_40,17,True,False
160,gate_30,43,False,False
161,gate_40,2,False,False
162,gate_30,30,False,False
163,gate_40,11,True,True
164,gate_40,16,False,False
165,gate_30,5,False,False
166,gate_40,21,True,True
167,gate_40,22,False,False
168,gate_40,46,False,False
169,gate_40,17,True,False
170,gate_40,19,False,False
171,gate_40,14,True,True
172,gate_30,8,False,False
173,gate_30,20,True,False
174,gate_30,19,True,True
175,gate_30,4,False,False
176,gate_30,14,False,False
177,gate_30,215,True,True
178,gate_40,78,True,False
179,gate_30,70,False,False
180,gate_30,185,True,False
181,gate_40,25,False,False
182,gate_30,34,False,False
183,gate_40,20,False,False
184,gate_30,33,True,True
185,gate_40,3,True,True
186,gate_40,39,True,True
187,gate_30,25,True,False
188,gate_30,18,True,True
189,gate_40,13,False,False
190,gate_40,11,False,False
191,gate_40,68,True,True
192,gate_40,14,True,True
193,gate_30,171,False,False
194,gate_30,6,False,False
195,gate_30,225,True,True
196,gate_40,54,True,True
197,gate_40,72,True,True
198,gate_30,7,False,False
199,gate_30,111,False,False
200,gate_30,14,False,False
201,gate_30,31,True,True
202,gate_40,46,False,False
203,gate_40,5,True,True
204,gate_40,45,False,False
205,gate_30,4,True,True
206,gate_30,38,False,False
207,gate_40,14,True,False
208,gate_40,13,False,False
209,gate_40,24,False,False
210,gate_40,3,True,True
211,gate_30,20,True,True
212,gate_40,14,False,False
213,gate_30,8,True,True
214,gate_30,20,False,False
215,gate_30,90,True,False
216,gate_30,0,False,False
217,gate_40,12,False,False
218,gate_30,12,False,False
219,gate_40,11,False,False
220,gate_40,15,False,False
221,gate_30,31,True,False
222,gate_30,13,False,False
223,gate_40,39,True,True
224,gate_30,7,True,False
225,gate_30,52,True,True
226,gate_30,42,True,True
227,gate_30,18,False,False
228,gate_40,17,False,False
229,gate_40,26,True,False
230,gate_40,16,True,False
231,gate_40,6,True,False
232,gate_40,24,False,False
233,gate_30,18,False,False
234,gate_40,76,True,False
235,gate_40,38,False,False
236,gate_40,27,True,False
237,gate_40,28,True,False
238,gate_30,10,False,False
239,gate_30,27,True,False
240,gate_30,7,True,True
241,gate_30,13,False,False
242,gate_40,26,False,False
243,gate_40,13,True,True
244,gate_30,44,True,True
245,gate_40,28,True,False
246,gate_30,26,False,False
247,gate_30,27,False,False
248,gate_30,1,True,False
249,gate_30,9,True,False
250,gate_40,27,False,False
251,gate_30,10,False,False
252,gate_40,24,True,False
253,gate_40,4,False,False
254,gate_30,44,False,False
255,gate_40,24,False,False
256,gate_40,7,False,False
257,gate_30,26,True,True
258,gate_30,34,True,True
259,gate_30,34,True,True
260,gate_30,59,True,False
261,gate_30,14,True,False
262,gate_40,116,True,False
263,gate_40,37,True,True
264,gate_30,31,False,False
265,gate_30,19,False,False
266,gate_40,12,False,False
267,gate_30,56,True,True
268,gate_30,16,False,False
269,gate_30,11,False,False
270,gate_40,15,True,False
271,gate_30,12,True,False
272,gate_40,40,False,False
273,gate_40,56,True,False
274,gate_30,5,True,False
275,gate_40,18,True,True
276,gate_30,17,False,False
277,gate_40,12,True,True
278,gate_40,8,False,False
279,gate_40,1,False,False
280,gate_30,14,True,True
281,gate_40,25,False,False
282,gate_30,20,True,False
283,gate_30,22,False,False
284,gate_30,34,True,True
285,gate_40,184,True,False
286,gate_40,11,True,True
287,gate_30,6,False,False
288,gate_40,86,False,False
289,gate_30,10,False,False
290,gate_40,14,True,False
291,gate_30,13,False,False
292,gate_40,17,False,False
293,gate_30,65,False,False
294,gate_40,13,False,False
295,gate_30,38,False,False
296,gate_30,12,True,False
297,gate_30,135,True,True
298,gate_40,135,True,False
299,gate_40,44,False,False
300,gate_30,43,False,False
301,gate_40,22,False,False
